status_id_str,user_id_str,in_reply_to_user_id_str,in_reply_to_status_id_str
9030985626586855846,-652854001767642124,,
544315978398703647,5212031146057198528,,
-5031508206708971716,-355838202193138169,,
1865002324598914636,-4004577265331671325,,
2886056665371128633,-6176491263297020231,,
-2692778928606696839,2768135433382028114,,
415654465651105623,-8831707582669861792,,
-7750254176646665920,-5574248477986692233,,
-4248815099278456052,2655069981849318505,,
-6532524453780991781,3601494892509267417,,
3695277600015731197,-6133404220643727343,,
3943395598728593336,-2325945892786444408,,
3397078661792802805,-1787917832147480294,,
-7656074379900339346,-333932918096921866,-3.952232540676313e+16,3.978764125094583e+18
-7767331958222474344,-8105697871466930157,,
1035728050169784058,350407559011789322,1.643105269706999e+17,6.510903452122847e+18
1388433005308471453,5518147564489944590,,
-8469877179246906042,-8915828011974969514,,
-4476629528049589042,-8269732325668768156,,
5884967452921338402,-4670390684355563801,-4.5093646024195313e+18,-7.613246716031015e+18
-6796437946687959297,-3946091568207533379,,
6342289795038976989,2697569371475365653,,
8587668371425823097,7305561787981391388,,
-8067551949349558342,4168995774580311514,,
2681930549370631353,-7465934691933364809,,
-3184962807860800743,-2688117862880255804,,
8541454778054180519,8336606727684275372,,
2995203461090828150,2607367421130236141,8.519247798654896e+18,-5.120904820532246e+18
-4415037172351216736,-608483161374540168,,
177507745097907236,3166871356166803514,8.070254236804904e+18,-8.014708829603707e+18
-1125909159157678455,-5694425189365660656,,
7755720176727012349,-8374019604730741423,,
-4526177348940462475,-5424007889963999448,,
3422348649431816306,2728612401670747403,,
-2440931014847517856,3207617168757028515,,
1425095702036909624,-3571256280319578231,,
4653592838858100824,-4095186777107683134,,
-3877679142799758571,7039288462528090741,-4.051496714351771e+17,-3.933558611279654e+18
-8465481909669417921,3382691293871568969,,
228494458267272028,6861535436394262440,,
-4821193658272400991,2085632201825308942,,
-5567025091002135061,8408253466441560358,,
8643213452733724046,129783509695062727,,
-6550593882014871958,-3679624644683020446,,
8284997494281835657,5731006339042012868,,
6609957277210911756,-5351632633337757134,,
4954996853574361702,1643200164576978830,,
3934808804711121029,-3526467383344892040,,
3501863497965107556,-1597888450055293894,,
4120613857698430761,5270972507127785341,,
1541205754036346106,-4829025108521348190,,
-5325290896541628955,2889271665868314061,,
824015737089398421,3883439451361707558,-1.0903813376813898e+18,5.310284272064623e+18
-1011535634511346148,1606787770177119526,,
4569657349283664071,-3714400865482712173,,
5046020689492159361,-1494115976667584894,,
2795541387357631357,8075189215354191039,,
-6703491277805057305,-3123782480312867202,,
4832760504404672109,3495220339326626141,,
-5646837020630308331,-8845801173527941144,,
-9070558353795738357,-972239671694182783,,
3832434865933673090,8120362733687619983,,
-4060315922362199193,6910316992386736615,,
53693662813726108,-7222660454913624678,,
1484832589013582159,-5747537583079106191,,
-5223026458485680659,8084724530332732740,,
-8865801625768107101,-7419512179608087636,6.827462035983895e+17,-1.9237726299818294e+18
-6237577705306135457,7839167555418629320,,
5396287069498655340,-7909909343809089352,,
-8821263290537271951,3190797151153235915,,
-8851106153687518467,-7465054021485941815,,
4599518401616136694,-8807460753012619332,-3.4934873778650143e+18,-2.8391934391709384e+18
-8828819279926526327,-1750839605173552679,,
1193729192163546152,6236862553296561152,,
5184919418362959115,-7911928227896375659,,
4484755415926141990,5356430084809923545,,
7882454615488699862,-1065584326371677533,,
7361253256177707509,1858571453556205965,,
-1833900931723860382,-8902921310606209077,4.3830342611959183e+18,-6.849544527790788e+18
6843353484298194874,7923633653547474289,,
433368380302910325,-7141206126346246898,,
8816007468350988712,-8454397354437725433,,
-6496828415849254858,5502294497224181189,,
4186674098700542045,5075777146276645624,,
2375680019284371241,-2670100513447927603,,
4569035737160661556,2393675545116732212,,
8874069735171393844,7300003456720489714,,
2159312242088577375,-4773850310737892926,,
-7342020399958103259,-5171903066779632992,,
-4440936086485724000,-1928045650743903530,-4.1557739428193464e+18,4.572040806889208e+18
467436349480971986,2598589686214871541,,
2425865885753941458,2865210248918096152,6.578859920606631e+18,-1.4922539558006925e+18
-1710682837326839407,-5645199513875971557,,
-7472057439609192175,2711581771619783898,,
3529196409622865588,-9983826267782684,-5.803144935469871e+18,1.0578993361544817e+18
6623914981135005021,-6522664857988981300,,
-1253570250718226080,-4382611411135102431,,
-113137951191810253,2862532406832524062,,
822262455163751513,-8236233226376181,,
-33310624043015205,6150493527250156703,,
247543451211637807,7367727179898548360,,
2626267033654170062,3059054133594987951,,
-389336620766752026,-1558398283036155426,,
-6451244413687895710,1409383820099658582,,
5118222118271816425,7855520841962069886,,
8411060537651812953,7935625466361391782,,
4150723234815788239,8815561002181547122,,
-3887947715858338928,8706125854757515186,,
-5502145964342333855,-4820998369374574542,,
7974670431102260394,-649301881354119072,,
-6577585961715465279,-3088595732714559657,,
-5741886048184360791,3809969622671596650,,
1837988300923219344,-7942212050391485647,,
-3554356090497279305,1813387852225016789,-3.612263463060965e+17,-2.5845681181729644e+18
8826635051700378010,-8507631238036663063,,
4112868383553277963,2499818078964676908,4.992924413847959e+18,-3.836051561067997e+17
-2257077986046347558,5219863419988838490,,
-314396935093415280,-405149671435177075,1.8343121818641705e+18,1.2259095150526958e+18
7205646453132157050,-185820220720470226,,
1187447119929081582,-2927022927164075447,,
984821205111724890,-7350221859582722523,,
-3775970529331852074,-5974501119990022257,,
6544718314017303098,8825672298714406133,,
4279465396205030523,5547631851224117268,,
-3610358481521682674,1101167014197739041,,
5982865165781440615,7249148044716981404,,
